  1.47000E+00 -3.51184E+02 -8.21333E+01  1.02480E+02  2.26172E+01 -2.20454E-01 -3.64611E-03
  1.48000E+00 -3.50159E+02 -8.19069E+01  1.02502E+02  2.27275E+01 -2.21090E-01 -3.38205E-03
  1.49000E+00 -3.49134E+02 -8.16793E+01  1.02523E+02  2.28370E+01 -2.21719E-01 -3.11763E-03
  1.50000E+00 -3.48108E+02 -8.14507E+01  1.02544E+02  2.29459E+01 -2.22341E-01 -2.85286E-03
  1.51000E+00 -3.47083E+02 -8.12210E+01  1.02566E+02  2.30542E+01 -2.22954E-01 -2.58772E-03
  1.52000E+00 -3.46057E+02 -8.09901E+01  1.02588E+02  2.31617E+01 -2.23560E-01 -2.32222E-03
  1.53000E+00 -3.45031E+02 -8.07583E+01  1.02610E+02  2.32686E+01 -2.24159E-01 -2.05637E-03
  1.54000E+00 -3.44005E+02 -8.05253E+01  1.02632E+02  2.33747E+01 -2.24750E-01 -1.79014E-03
  1.55000E+00 -3.42979E+02 -8.02913E+01  1.02654E+02  2.34802E+01 -2.25333E-01 -1.52355E-03
  1.56000E+00 -3.41952E+02 -8.00562E+01  1.02677E+02  2.35850E+01 -2.25908E-01 -1.25659E-03
  1.57000E+00 -3.40925E+02 -7.98201E+01  1.02700E+02  2.36891E+01 -2.26476E-01 -9.89260E-04
  1.58000E+00 -3.39898E+02 -7.95830E+01  1.02723E+02  2.37925E+01 -2.27036E-01 -7.21554E-04
  1.59000E+00 -3.38871E+02 -7.93448E+01  1.02746E+02  2.38952E+01 -2.27588E-01 -4.53480E-04
  1.60000E+00 -3.37844E+02 -7.91056E+01  1.02769E+02  2.39972E+01 -2.28132E-01 -1.85038E-04
  1.61000E+00 -3.36816E+02 -7.88654E+01  1.02792E+02  2.40986E+01 -2.28669E-01  8.37791E-05
  1.62000E+00 -3.35788E+02 -7.86241E+01  1.02816E+02  2.41992E+01 -2.29198E-01  3.52990E-04
  1.63000E+00 -3.34760E+02 -7.83819E+01  1.02840E+02  2.42991E+01 -2.29719E-01  6.22580E-04
  1.64000E+00 -3.33731E+02 -7.81386E+01  1.02864E+02  2.43984E+01 -2.30233E-01  8.92548E-04
  1.65000E+00 -3.32702E+02 -7.78944E+01  1.02888E+02  2.44969E+01 -2.30738E-01  1.16290E-03
  1.66000E+00 -3.31674E+02 -7.76492E+01  1.02912E+02  2.45947E+01 -2.31236E-01  1.43364E-03
  1.67000E+00 -3.30644E+02 -7.74030E+01  1.02937E+02  2.46918E+01 -2.31727E-01  1.70475E-03
  1.68000E+00 -3.29615E+02 -7.71559E+01  1.02962E+02  2.47882E+01 -2.32209E-01  1.97627E-03
  1.69000E+00 -3.28585E+02 -7.69077E+01  1.02987E+02  2.48840E+01 -2.32683E-01  2.24818E-03
  1.70000E+00 -3.27555E+02 -7.66587E+01  1.03012E+02  2.49790E+01 -2.33150E-01  2.52048E-03
  1.71000E+00 -3.26525E+02 -7.64086E+01  1.03037E+02  2.50732E+01 -2.33609E-01  2.79317E-03
  1.72000E+00 -3.25495E+02 -7.61577E+01  1.03063E+02  2.51668E+01 -2.34060E-01  3.06626E-03
  1.73000E+00 -3.24464E+02 -7.59058E+01  1.03089E+02  2.52597E+01 -2.34503E-01  3.33975E-03
  1.74000E+00 -3.23433E+02 -7.56529E+01  1.03115E+02  2.53518E+01 -2.34939E-01  3.61363E-03
  1.75000E+00 -3.22402E+02 -7.53992E+01  1.03141E+02  2.54433E+01 -2.35366E-01  3.88793E-03
  1.76000E+00 -3.21370E+02 -7.51445E+01  1.03167E+02  2.55340E+01 -2.35786E-01  4.16261E-03
  1.77000E+00 -3.20339E+02 -7.48890E+01  1.03194E+02  2.56240E+01 -2.36197E-01  4.43772E-03
  1.78000E+00 -3.19307E+02 -7.46325E+01  1.03221E+02  2.57133E+01 -2.36601E-01  4.71323E-03
  1.79000E+00 -3.18274E+02 -7.43751E+01  1.03248E+02  2.58018E+01 -2.36997E-01  4.98915E-03
  1.80000E+00 -3.17242E+02 -7.41169E+01  1.03275E+02  2.58896E+01 -2.37385E-01  5.26548E-03
  1.81000E+00 -3.16209E+02 -7.38578E+01  1.03302E+02  2.59767E+01 -2.37765E-01  5.54221E-03
  1.82000E+00 -3.15176E+02 -7.35978E+01  1.03330E+02  2.60631E+01 -2.38137E-01  5.81937E-03
